# # n, sigma
3.000000000000000000e+01 2.095355307392096300e+00 1.077067436169789061e-01
6.000000000000000000e+01 2.075999904186329292e+00 1.275405953562366579e-01
9.000000000000000000e+01 2.077951415273679103e+00 1.065339001469698954e-01
1.200000000000000000e+02 2.417016940782569900e+00 7.272214070235584471e-02
1.500000000000000000e+02 2.404057892680361963e+00 8.927285544097272874e-02
1.800000000000000000e+02 2.423070727823818160e+00 8.249163090384518948e-02
2.100000000000000000e+02 2.450632156506813875e+00 6.113601189680751419e-02
2.400000000000000000e+02 2.455836428623760170e+00 4.865848388525487178e-02
2.700000000000000000e+02 2.465068031476228327e+00 4.264280585522944172e-02
3.000000000000000000e+02 2.463443761076284044e+00 3.403618318606311394e-02
3.300000000000000000e+02 2.470367577800034020e+00 2.997250801188459934e-02
3.600000000000000000e+02 2.466937586172236241e+00 2.681643837691951096e-02
3.900000000000000000e+02 2.474083853772226504e+00 2.983400501525126924e-02
4.200000000000000000e+02 2.467533114591335952e+00 2.595911004382281048e-02
4.500000000000000000e+02 2.478134274953509131e+00 2.168712784772343360e-02
4.800000000000000000e+02 2.473573186921239397e+00 2.338492433976498835e-02
5.100000000000000000e+02 2.475307128428769765e+00 2.197120519159704438e-02
5.400000000000000000e+02 2.473793102423520907e+00 2.158212266840867782e-02
5.700000000000000000e+02 2.470987678399166665e+00 2.071677093709772127e-02
6.000000000000000000e+02 2.476783047103867652e+00 2.223851765341907510e-02
6.300000000000000000e+02 2.468109501283799023e+00 2.150050674539466175e-02
6.600000000000000000e+02 2.467205533522089933e+00 1.971558931362771966e-02
6.900000000000000000e+02 2.468522117187571308e+00 2.085010083282250529e-02
7.200000000000000000e+02 2.471329119355870407e+00 1.880674740485016247e-02
7.500000000000000000e+02 2.466164842310741179e+00 1.854743509493099116e-02
7.800000000000000000e+02 2.464903056221913413e+00 1.874005346959963653e-02
8.100000000000000000e+02 2.461714732323667221e+00 1.932506982415814478e-02
8.400000000000000000e+02 2.466411702173775478e+00 1.998122039589379437e-02
8.700000000000000000e+02 2.453785262827563596e+00 2.172362290426604892e-02
9.000000000000000000e+02 2.460243436660998650e+00 2.112724728528364918e-02
9.300000000000000000e+02 2.465296432796674431e+00 2.110798094676066133e-02
9.600000000000000000e+02 2.463990033660018231e+00 2.156527687216069217e-02
9.900000000000000000e+02 2.461769873481857829e+00 2.211575093967658306e-02
1.020000000000000000e+03 2.461290379226710012e+00 2.357317099057336732e-02
1.050000000000000000e+03 2.460883100452835315e+00 2.537997017153632157e-02
1.080000000000000000e+03 2.459885264278222294e+00 2.297101007840997994e-02
1.110000000000000000e+03 2.461256981836896340e+00 2.233594434845813034e-02
1.140000000000000000e+03 2.457307519202169388e+00 2.371725027467673497e-02
1.170000000000000000e+03 2.460078026275637875e+00 2.407701826669707973e-02
1.200000000000000000e+03 2.462256545149214659e+00 2.393174516038920965e-02
1.230000000000000000e+03 2.457877798454259022e+00 2.368893777199200523e-02
1.260000000000000000e+03 2.452925404593833569e+00 2.376324073410856011e-02
1.290000000000000000e+03 2.454168043814147993e+00 2.289508366676289500e-02
