# # n, sigma
3.000000000000000000e+01 4.056498057208243857e+00 1.623765430451943048e-01
6.000000000000000000e+01 4.079036286937679279e+00 1.877959878069898336e-01
9.000000000000000000e+01 2.508977648093519974e+00 8.301742090312820566e-02
1.200000000000000000e+02 2.548779379053255578e+00 6.500699965908565692e-02
1.500000000000000000e+02 2.548871155230767016e+00 5.408680260008604662e-02
1.800000000000000000e+02 2.553139860918706372e+00 4.350441049689414419e-02
2.100000000000000000e+02 2.550965618694288839e+00 4.905008057317330333e-02
2.400000000000000000e+02 2.546762109731296242e+00 3.912654923089895626e-02
2.700000000000000000e+02 2.552039722331601812e+00 4.382311799811200448e-02
3.000000000000000000e+02 2.544962741857130339e+00 4.265260604752150325e-02
3.300000000000000000e+02 2.540458564192564772e+00 4.131094644362121038e-02
3.600000000000000000e+02 2.540608693702178122e+00 4.220309597701553395e-02
3.900000000000000000e+02 2.534691430264325085e+00 3.457667730405149242e-02
4.200000000000000000e+02 2.541240378485935647e+00 2.889252233307493950e-02
4.500000000000000000e+02 2.542392199410113740e+00 2.818492519653227266e-02
4.800000000000000000e+02 2.542601351173715329e+00 3.031679008479089277e-02
5.100000000000000000e+02 2.541615920739844103e+00 2.813701596875829367e-02
5.400000000000000000e+02 2.541252737552341046e+00 2.909201105489548148e-02
5.700000000000000000e+02 2.544441251959514538e+00 2.858973717905919157e-02
6.000000000000000000e+02 2.540327800765065813e+00 3.055898709003924962e-02
6.300000000000000000e+02 2.550783333676422515e+00 3.003468474496654925e-02
6.600000000000000000e+02 2.546501395860095940e+00 3.279636421577174221e-02
6.900000000000000000e+02 2.545117882160889078e+00 3.352724375680522784e-02
7.200000000000000000e+02 2.546726972887842333e+00 3.420742978374521209e-02
7.500000000000000000e+02 2.540619927842746595e+00 3.531083829728674101e-02
7.800000000000000000e+02 2.544472681631132271e+00 3.550994841173325811e-02
8.100000000000000000e+02 2.547412050797167371e+00 3.512018810615989695e-02
8.400000000000000000e+02 2.544923669839674663e+00 3.402988047938758365e-02
8.700000000000000000e+02 2.546766153269489408e+00 3.431769765984946097e-02
9.000000000000000000e+02 2.546715122427152256e+00 3.481239103099487142e-02
9.300000000000000000e+02 2.544459205323009066e+00 3.537562492334640069e-02
9.600000000000000000e+02 2.537938360416946981e+00 3.438079891887592388e-02
9.900000000000000000e+02 2.541171128891048792e+00 3.092906943901404734e-02
1.020000000000000000e+03 2.532902347201186011e+00 3.070699446198678004e-02
1.050000000000000000e+03 2.540901291929496875e+00 3.131965094919878650e-02
1.080000000000000000e+03 2.537340533375731066e+00 3.171425723222733722e-02
1.110000000000000000e+03 2.526303987824952468e+00 3.148630195414966332e-02
1.140000000000000000e+03 2.530257486159491531e+00 3.370020565204673996e-02
1.170000000000000000e+03 2.538157767171495660e+00 3.178875263527336514e-02
1.200000000000000000e+03 2.531099821776341408e+00 3.186711709028540451e-02
1.230000000000000000e+03 2.541780762445634334e+00 3.011324118493322391e-02
1.260000000000000000e+03 2.544897682447219367e+00 3.091135924495978446e-02
1.290000000000000000e+03 2.548919077833242675e+00 3.103584979125338650e-02
1.320000000000000000e+03 2.546041940245811652e+00 3.100691681744658854e-02
1.350000000000000000e+03 2.550445356587935919e+00 3.063663466253064432e-02
1.380000000000000000e+03 2.541295371715516005e+00 3.061869467984281584e-02
1.410000000000000000e+03 2.544705587192979124e+00 3.017358937103507485e-02
1.440000000000000000e+03 2.539377646099746144e+00 3.055196843956715924e-02
1.470000000000000000e+03 2.538077395432845051e+00 2.997897812923322469e-02
1.500000000000000000e+03 2.531513624718794375e+00 2.893914579432492473e-02
1.530000000000000000e+03 2.534628697639996098e+00 2.749072697258398909e-02
1.560000000000000000e+03 2.531291175128710158e+00 2.760342864575729069e-02
1.590000000000000000e+03 2.532456263361055893e+00 2.668499592635935683e-02
1.620000000000000000e+03 2.528909922541048960e+00 2.816551329775222531e-02
1.650000000000000000e+03 2.530636010001078073e+00 2.675725535003522018e-02
1.680000000000000000e+03 2.523960374557131736e+00 2.580454956020226259e-02
1.710000000000000000e+03 2.521238237633442125e+00 2.523393209992251182e-02
1.740000000000000000e+03 2.522767895399963933e+00 2.567392309111496754e-02
1.770000000000000000e+03 2.523899342315913952e+00 2.629171270559950424e-02
1.800000000000000000e+03 2.522604891553645423e+00 2.616932720417602595e-02
1.830000000000000000e+03 2.521096569038281832e+00 2.443460910416441964e-02
1.860000000000000000e+03 2.521532284880905639e+00 2.361618981000332060e-02
1.890000000000000000e+03 2.518993544238423254e+00 2.340493474540468813e-02
1.920000000000000000e+03 2.516096555831812687e+00 2.354558810803344254e-02
1.950000000000000000e+03 2.513709056103639483e+00 2.249096959875794902e-02
1.980000000000000000e+03 2.517197280127033920e+00 2.267097075677450627e-02
2.010000000000000000e+03 2.519008307603400887e+00 2.298533712134511950e-02
2.040000000000000000e+03 2.514943597607533832e+00 2.244948683833824718e-02
2.070000000000000000e+03 2.513846460096972990e+00 2.186340558072262172e-02
2.100000000000000000e+03 2.513030417858691301e+00 2.097748387250976398e-02
2.130000000000000000e+03 2.512293399553356288e+00 2.065921805029908437e-02
2.160000000000000000e+03 2.516176141470193972e+00 2.026186183371590094e-02
2.190000000000000000e+03 2.515993690399389138e+00 1.998505551190192173e-02
2.220000000000000000e+03 2.517903186586859299e+00 2.007672112083935811e-02
2.250000000000000000e+03 2.521220458897281080e+00 2.003223999520062706e-02
2.280000000000000000e+03 2.521599357794847229e+00 2.003037898414779250e-02
2.310000000000000000e+03 2.516803025357622126e+00 1.913079347784223463e-02
2.340000000000000000e+03 2.516517940602357672e+00 1.944983472225364496e-02
2.370000000000000000e+03 2.513835488033604015e+00 1.907962887681974307e-02
2.400000000000000000e+03 2.515554512473978654e+00 1.912741911859944938e-02
2.430000000000000000e+03 2.512546398116509039e+00 1.872847292529910418e-02
2.460000000000000000e+03 2.515147949103555991e+00 1.887961893973424954e-02
2.490000000000000000e+03 2.515856097629620702e+00 1.898193162458372898e-02
2.520000000000000000e+03 2.515715786441864221e+00 1.936681599298637271e-02
2.550000000000000000e+03 2.516818645070930671e+00 1.909109198707388197e-02
2.580000000000000000e+03 2.516684180732074338e+00 1.957820760384784697e-02
2.610000000000000000e+03 2.516543646254080446e+00 1.996108580024429091e-02
2.640000000000000000e+03 2.511344592228347050e+00 1.909955007157498191e-02
2.670000000000000000e+03 2.515696599687662349e+00 1.941628014304181554e-02
2.700000000000000000e+03 2.515519445671889009e+00 1.899328787938634605e-02
2.730000000000000000e+03 2.516534307764105804e+00 1.814498094461200473e-02
2.760000000000000000e+03 2.513978838830453810e+00 1.786875384797440361e-02
2.790000000000000000e+03 2.513839550127409783e+00 1.743378631572982743e-02
2.820000000000000000e+03 2.510066879653163330e+00 1.654821538306994189e-02
2.850000000000000000e+03 2.511589078003064746e+00 1.666789289414657288e-02
2.880000000000000000e+03 2.510099961206412988e+00 1.678070245459138340e-02
2.910000000000000000e+03 2.511270309971967318e+00 1.763301733154732168e-02
2.940000000000000000e+03 2.509147699768781603e+00 1.693993183407490472e-02
2.970000000000000000e+03 2.511357131786470465e+00 1.659590605306784580e-02
3.000000000000000000e+03 2.511494214238404243e+00 1.671511177486229363e-02
3.030000000000000000e+03 2.510249647160204489e+00 1.675476223014799732e-02
3.060000000000000000e+03 2.509015383420943213e+00 1.671016199026750804e-02
3.090000000000000000e+03 2.505803889753085212e+00 1.638941374999990097e-02
3.120000000000000000e+03 2.505306057266444508e+00 1.637950306389732852e-02
3.150000000000000000e+03 2.504077688478363761e+00 1.580320050947165225e-02
3.180000000000000000e+03 2.505252699121325755e+00 1.613963768295372664e-02
3.210000000000000000e+03 2.506411819698836752e+00 1.600893870740240782e-02
3.240000000000000000e+03 2.506389122724593577e+00 1.568607745666736678e-02
3.270000000000000000e+03 2.505169401781190075e+00 1.499937789167385405e-02
3.300000000000000000e+03 2.505908918813065434e+00 1.510261394880763400e-02
3.330000000000000000e+03 2.506819680411298989e+00 1.478621430008577806e-02
3.360000000000000000e+03 2.507551784469947531e+00 1.498550173333223351e-02
3.390000000000000000e+03 2.506458854668985214e+00 1.477101784673433109e-02
3.420000000000000000e+03 2.508437671276031455e+00 1.471734967009904679e-02
3.450000000000000000e+03 2.510607236867668401e+00 1.472775297928668840e-02
3.480000000000000000e+03 2.514914244141695843e+00 1.518632303636971610e-02
3.510000000000000000e+03 2.515755474703348149e+00 1.555662465728827742e-02
3.540000000000000000e+03 2.513136980528959175e+00 1.546596786489998383e-02
3.570000000000000000e+03 2.514520550707451729e+00 1.501732815760741142e-02
3.600000000000000000e+03 2.514492890655129820e+00 1.474511718352659873e-02
3.630000000000000000e+03 2.513789974216598999e+00 1.438049345419871450e-02
3.660000000000000000e+03 2.514208479874489033e+00 1.451040261833392957e-02
3.690000000000000000e+03 2.515223122522931565e+00 1.447319487501817596e-02
3.720000000000000000e+03 2.514622848849391357e+00 1.389970155941634526e-02
3.750000000000000000e+03 2.512594143084785347e+00 1.377704590317279515e-02
3.780000000000000000e+03 2.514102352617408886e+00 1.408553142844551874e-02
3.810000000000000000e+03 2.514861049760892531e+00 1.458059460559444492e-02
3.840000000000000000e+03 2.516715170732042317e+00 1.398150895354790570e-02
3.870000000000000000e+03 2.518220108344767283e+00 1.378625151530509310e-02
3.900000000000000000e+03 2.519580455719142353e+00 1.377309215917882357e-02
3.930000000000000000e+03 2.517867033185141157e+00 1.354108919704636108e-02
3.960000000000000000e+03 2.519318231653443263e+00 1.303196335898711491e-02
3.990000000000000000e+03 2.516606170306658896e+00 1.285502000205505924e-02
4.020000000000000000e+03 2.516741229101196353e+00 1.337558312590822127e-02
4.050000000000000000e+03 2.516482097712265720e+00 1.314469577790765981e-02
4.080000000000000000e+03 2.518956923299911388e+00 1.294856234483191676e-02
4.110000000000000000e+03 2.518554314924219995e+00 1.289206325713744550e-02
4.140000000000000000e+03 2.517075694602516567e+00 1.262930026694201319e-02
4.170000000000000000e+03 2.517474882063472919e+00 1.293199909345772378e-02
4.200000000000000000e+03 2.517723949006344331e+00 1.310699209654137866e-02
4.230000000000000000e+03 2.519109123374964732e+00 1.295497714240989237e-02
4.260000000000000000e+03 2.518542647056932537e+00 1.300604296445582835e-02
4.290000000000000000e+03 2.516903026970985557e+00 1.303092678268285773e-02
4.320000000000000000e+03 2.516283830024391044e+00 1.326477994265482657e-02
4.350000000000000000e+03 2.516493433953912007e+00 1.361824776620024040e-02
4.380000000000000000e+03 2.515667292334046845e+00 1.355370811544128265e-02
4.410000000000000000e+03 2.515397388873008566e+00 1.376845879347170926e-02
4.440000000000000000e+03 2.515443895161717069e+00 1.424852975590979419e-02
4.470000000000000000e+03 2.515818865289998651e+00 1.405228392358839548e-02
4.500000000000000000e+03 2.514045864190514123e+00 1.438092685055640009e-02
4.530000000000000000e+03 2.514510974551765976e+00 1.397552230113226386e-02
4.560000000000000000e+03 2.515501908700466416e+00 1.407588632735080544e-02
4.590000000000000000e+03 2.516327701699236918e+00 1.435138641470348753e-02
4.620000000000000000e+03 2.514386896527095683e+00 1.415587034050005792e-02
4.650000000000000000e+03 2.512041359297958909e+00 1.393320831827324011e-02
4.680000000000000000e+03 2.513112267493262664e+00 1.395894019629557656e-02
4.710000000000000000e+03 2.513856979829354188e+00 1.387811357915174834e-02
4.740000000000000000e+03 2.514903033037903857e+00 1.411230833849262158e-02
4.770000000000000000e+03 2.515060493710045808e+00 1.428927544991897072e-02
4.800000000000000000e+03 2.514921418479380222e+00 1.427346794610098550e-02
4.830000000000000000e+03 2.514954437748837535e+00 1.401270433924193051e-02
4.860000000000000000e+03 2.512595359627978198e+00 1.382572749726323179e-02
4.890000000000000000e+03 2.513478391448503935e+00 1.367402593131658399e-02
4.920000000000000000e+03 2.512824312334523746e+00 1.358174644724734551e-02
4.950000000000000000e+03 2.512901362991045051e+00 1.368288396975045167e-02
4.980000000000000000e+03 2.513302766291839241e+00 1.368456600718631101e-02
5.010000000000000000e+03 2.512258399121327201e+00 1.389016699109485962e-02
5.040000000000000000e+03 2.512200952601902237e+00 1.373237690240408128e-02
5.070000000000000000e+03 2.512421322908354071e+00 1.401587263698707633e-02
5.100000000000000000e+03 2.514155750049777982e+00 1.431314512906483802e-02
5.130000000000000000e+03 2.513435389550711108e+00 1.393712974362499787e-02
5.160000000000000000e+03 2.513257321216586959e+00 1.396556925243335953e-02
5.190000000000000000e+03 2.513492636355193710e+00 1.377288269706599712e-02
5.220000000000000000e+03 2.513075904522199977e+00 1.354696654309211178e-02
5.250000000000000000e+03 2.511840405687479905e+00 1.345273520390694727e-02
5.280000000000000000e+03 2.512815857916289364e+00 1.373429383879507144e-02
5.310000000000000000e+03 2.513891878657687595e+00 1.332548995009601167e-02
5.340000000000000000e+03 2.512729636238159259e+00 1.314082663369190232e-02
5.370000000000000000e+03 2.512257220071519637e+00 1.292521955046724638e-02
5.400000000000000000e+03 2.511134152977871015e+00 1.300918544364712721e-02
5.430000000000000000e+03 2.510470696168809468e+00 1.271518662238846180e-02
5.460000000000000000e+03 2.511363136717478017e+00 1.240196442663840833e-02
5.490000000000000000e+03 2.512033340352472166e+00 1.236858573998034574e-02
5.520000000000000000e+03 2.512166688356898270e+00 1.215206234061792616e-02
5.550000000000000000e+03 2.513251043932222650e+00 1.172694788976885207e-02
5.580000000000000000e+03 2.511945168317139210e+00 1.149796912210294779e-02
5.610000000000000000e+03 2.511759230634569295e+00 1.119708741399107199e-02
5.640000000000000000e+03 2.510884432997936067e+00 1.076420759715323097e-02
5.670000000000000000e+03 2.512894606559328725e+00 1.062670002887160237e-02
5.700000000000000000e+03 2.512516752020630850e+00 1.047516985257322154e-02
5.730000000000000000e+03 2.513373527484620062e+00 1.044103265385190431e-02
5.760000000000000000e+03 2.512045046175589214e+00 1.039888900570148933e-02
5.790000000000000000e+03 2.512551905591378532e+00 1.060366508341185898e-02
5.820000000000000000e+03 2.512560838405839103e+00 1.056333294021012670e-02
5.850000000000000000e+03 2.512777417607395147e+00 1.035029094648929129e-02
5.880000000000000000e+03 2.512547864455470403e+00 9.741171984608547330e-03
5.910000000000000000e+03 2.511797819981274049e+00 9.626491070634249358e-03
5.940000000000000000e+03 2.511647521406457972e+00 9.706710736271790402e-03
5.970000000000000000e+03 2.511945643373691972e+00 9.690700190485533605e-03
6.000000000000000000e+03 2.512018170119135085e+00 9.616372676751250292e-03
6.030000000000000000e+03 2.511534614105208174e+00 9.351480453517361374e-03
6.060000000000000000e+03 2.510847505541123237e+00 9.467291069002225015e-03
6.090000000000000000e+03 2.511279222821127366e+00 9.671824416358523052e-03
6.120000000000000000e+03 2.512448636209693831e+00 9.691107152073823172e-03
6.150000000000000000e+03 2.512777734622092307e+00 9.756009668996789772e-03
6.180000000000000000e+03 2.512235834844560589e+00 9.544433203555163781e-03
6.210000000000000000e+03 2.511016985807108082e+00 9.424496489026525092e-03
6.240000000000000000e+03 2.510752513609835201e+00 9.310802743573652271e-03
6.270000000000000000e+03 2.510614064721383265e+00 9.245301557212978055e-03
6.300000000000000000e+03 2.510467691831557602e+00 9.094404027977447125e-03
6.330000000000000000e+03 2.511388615682780046e+00 9.072648763840319985e-03
